"module name","license","repository"
"@babel/code-frame@7.15.8","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.15.0","MIT","https://github.com/babel/babel"
"@babel/core@7.15.8","MIT","https://github.com/babel/babel"
"@babel/generator@7.15.8","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-builder-binary-assignment-operator-visitor@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-create-class-features-plugin@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-create-regexp-features-plugin@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-define-polyfill-provider@0.2.3","MIT","https://github.com/babel/babel-polyfills"
"@babel/helper-explode-assignable-expression@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-function-name@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-get-function-arity@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-hoist-variables@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-member-expression-to-functions@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.15.8","MIT","https://github.com/babel/babel"
"@babel/helper-optimise-call-expression@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-remap-async-to-generator@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-replace-supers@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-simple-access@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-skip-transparent-expression-wrappers@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-split-export-declaration@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.15.7","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-wrap-function@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helpers@7.15.4","MIT","https://github.com/babel/babel"
"@babel/highlight@7.14.5","MIT","https://github.com/babel/babel"
"@babel/parser@7.15.8","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining@7.15.4","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-async-generator-functions@7.15.8","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-class-properties@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-class-static-block@7.15.4","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-decorators@7.15.8","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-dynamic-import@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-export-namespace-from@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-json-strings@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-logical-assignment-operators@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-nullish-coalescing-operator@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-numeric-separator@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-object-rest-spread@7.15.6","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-optional-catch-binding@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-optional-chaining@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-private-methods@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-private-property-in-object@7.15.4","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-unicode-property-regex@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-async-generators@7.8.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators"
"@babel/plugin-syntax-bigint@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-bigint"
"@babel/plugin-syntax-class-properties@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-class-static-block@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-decorators@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-dynamic-import@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import"
"@babel/plugin-syntax-export-namespace-from@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-export-namespace-from"
"@babel/plugin-syntax-import-meta@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-json-strings@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-json-strings"
"@babel/plugin-syntax-jsx@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-logical-assignment-operators@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-nullish-coalescing-operator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-nullish-coalescing-operator"
"@babel/plugin-syntax-numeric-separator@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-object-rest-spread@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread"
"@babel/plugin-syntax-optional-catch-binding@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-catch-binding"
"@babel/plugin-syntax-optional-chaining@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining"
"@babel/plugin-syntax-private-property-in-object@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-top-level-await@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-typescript@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-arrow-functions@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-async-to-generator@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-block-scoped-functions@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-block-scoping@7.15.3","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-classes@7.15.4","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-computed-properties@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-destructuring@7.14.7","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-dotall-regex@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-duplicate-keys@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-exponentiation-operator@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-for-of@7.15.4","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-function-name@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-literals@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-member-expression-literals@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-amd@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-commonjs@7.15.4","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-systemjs@7.15.4","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-modules-umd@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-named-capturing-groups-regex@7.14.9","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-new-target@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-object-super@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-parameters@7.15.4","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-property-literals@7.14.5","MIT","https://github.com/babel/babel"
